iteration,loss,params,train_time,n_trees
1,397.1776,"{'colsample_bytree': 0.9500000000000001, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 1.0, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",619.2947351574508,136
2,417.7885,"{'colsample_bytree': 0.8500000000000001, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",698.0562553080122,750
3,395.03107,"{'colsample_bytree': 0.7000000000000001, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.4}",411.1659005596025,40
4,468.08694,"{'colsample_bytree': 0.8500000000000001, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",434.1037448587649,837
5,393.5026,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.45}",398.17971710700203,21
6,417.683,"{'colsample_bytree': 0.75, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.4}",839.748949622955,932
7,411.4221,"{'colsample_bytree': 0.75, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.15000000000000002}",372.28834597848345,19
8,421.9872,"{'colsample_bytree': 0.9, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.1}",666.4394274017877,803
9,468.55295,"{'colsample_bytree': 0.9, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",439.0641737076676,804
10,399.38376,"{'colsample_bytree': 1.0, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.45}",842.9730340148972,43
11,406.9734,"{'colsample_bytree': 0.8, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.35000000000000003}",342.43465788818685,152
12,413.7856,"{'colsample_bytree': 0.75, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.05, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",412.56733830928715,309
13,401.1399,"{'colsample_bytree': 0.9, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",734.159910042823,367
14,400.24878,"{'colsample_bytree': 1.0, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.35000000000000003}",396.90860116077056,32
15,415.12973,"{'colsample_bytree': 0.8, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.25}",338.32137368149597,16
16,397.41315,"{'colsample_bytree': 0.9500000000000001, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.45}",448.87150473006477,40
17,403.60025,"{'colsample_bytree': 0.7000000000000001, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.1}",299.0604314788525,58
18,403.87622,"{'colsample_bytree': 0.7000000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.05, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.2}",283.71010780236065,16
19,398.31528,"{'colsample_bytree': 0.75, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.4}",482.2660436674614,59
20,393.4187,"{'colsample_bytree': 0.9, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.30000000000000004}",454.39863075734866,47
21,396.22418,"{'colsample_bytree': 0.8, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1249.5878631578398,620
22,387.66904,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.1, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.8}",467.8208435217239,29
23,391.61566,"{'colsample_bytree': 0.9, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.9}",550.1989818238271,126
24,411.45914,"{'colsample_bytree': 0.8, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1390.8655491724003,1428
25,389.20282,"{'colsample_bytree': 0.9500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.9500000000000001, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 1.0}",537.5113771068463,41
26,389.69305,"{'colsample_bytree': 0.9500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.9}",573.1995774116658,44
27,393.7024,"{'colsample_bytree': 1.0, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1026.9875343497333,253
28,387.19757,"{'colsample_bytree': 0.7000000000000001, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",473.79216325713423,22
29,399.59357,"{'colsample_bytree': 0.8500000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.55}",1535.4033813481255,986
30,391.1377,"{'colsample_bytree': 0.9500000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",590.4207165784464,32
31,416.82516,"{'colsample_bytree': 0.8500000000000001, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.9}",908.2354326334644,852
32,394.32315,"{'colsample_bytree': 0.9, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.55}",426.7948034720466,65
33,391.97882,"{'colsample_bytree': 1.0, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",538.0585879468672,81
